MAKE,MODEL,COLOR,YEAR,ODOMETER,STATE,SELLER,UNITS_SOLD,TOTAL_REVENUE,AVG_PRICE
Chevrolet,Captiva Sport,white,2014,19832,il,gm remarketing,1,14100,14100
Toyota,Camry,black,2013,15025,fl,advantage chrysler dodge jeep,1,16600,16600
Ford,Mustang,gray,2012,30735,oh,us bank,1,11500,11500
Audi,A5,gray,2011,56065,tx,santander consumer,1,20750,20750
Hyundai,Sonata,gray,2011,87129,il,tdaf remarketing,1,9100,9100
Nissan,Altima,blue,2011,60121,ca,nissan motor acceptance corporation,1,9500,9500
Toyota,Corolla,blue,2011,35548,oh,toyota financial services,1,10100,10100
Chevrolet,Impala,gray,2008,135681,nc,crossroads nissan of hickory inc,1,5000,5000
Honda,Civic,black,2008,89144,tx,texas direct auto,1,9900,9900
Nissan,Armada,black,2008,131196,ga,wells fargo dealer services,1,7300,7300
Chevrolet,Traverse,off-white,2014,23044,il,gm remarketing,1,31000,31000
,,black,2007,137693,ma,apple fcu,1,6300,6300
Toyota,Corolla,white,2007,75028,tx,santander consumer,1,5200,5200
Chevrolet,Impala,burgundy,2006,100636,wi,dt inventory,1,4200,4200
Chevrolet,Suburban,gold,2005,128265,tn,cig financial,1,6600,6600
Lincoln,Navigator,silver,2005,81543,nj,first investors servicing corp,1,4000,4000
,,blue,2004,158955,ca,quality acceptance,1,2600,2600
Cadillac,Escalade,silver,2003,1,nv,tiger financial management llc,1,350,350
Porsche,Boxster,blue,2001,55549,md,rockville audi,1,9400,9400
Lexus,ES 300,beige,1997,307777,oh,others first,1,325,325
Mazda,Mazda3,gray,2014,11957,fl,mazda motors of america inc.,1,18800,18800
Mercedes-Benz,GLK-Class,white,2014,8868,ga,mercedes-benz financial services,1,36250,36250
Chevrolet,Cruze,gray,2013,56081,ne,the hertz corporation,1,10400,10400
Chevrolet,Malibu,silver,2013,20512,pa,gm financial leasing,1,11600,11600
Chrysler,200,white,2013,58821,ga,dollar thrifty automotive group,1,9900,9900
Chrysler,Town and Country,blue,2013,32777,fl,chrysler group llc,1,17300,17300
Ford,Escape,silver,2013,29217,ny,ford motor credit company llc,1,19600,19600
Ford,Focus,red,2013,15686,mo,ford motor credit company llc,1,10700,10700
Ford,Fusion,white,2013,14301,nj,wheels exchange llc,1,14900,14900
Honda,Civic,black,2013,63614,ga,santander consumer,1,11600,11600
Infiniti,G Sedan,black,2013,9303,nj,nissan infiniti lt,1,24250,24250
Subaru,Impreza,red,2009,79578,oh,pauley motor car co preowned vehicles llc,1,21700,21700
Kia,Optima,gray,2010,88590,ca,apex car rental corp,1,6400,6400
Ford,Fusion,black,2013,75015,mo,meridian remarketing,1,11500,11500
Toyota,Sienna,white,2013,62526,in,the hertz corporation,1,17100,17100
Chrysler,200,black,2012,62781,fl,auto depot of orlando inc,1,9400,9400
Ford,Focus,silver,2012,16144,fl,palm chevrolet of gainesville llc,1,12500,12500
Dodge,Journey,white,2011,74285,mo,credit acceptance corp/vrs/southfield,1,7900,7900
Ford,F-150,white,2011,73536,tx,sutton leasing inc,1,20800,20800
Mercedes-Benz,C-Class,black,2011,28652,pa,mercedes-benz financial services,1,17700,17700
Toyota,RAV4,brown,2011,160756,fl,firkins chrysler jeep dodge,1,9350,9350
Hyundai,Elantra,black,2010,60043,oh,colonial auto sales,1,6800,6800
Chrysler,200,white,2014,29026,tx,tdaf remarketing,1,11300,11300
Kia,Sportage,black,2007,116268,oh,sullivan auto group llc,1,5500,5500
Chevrolet,Venture,red,2001,230738,fl,autonation toyota fort myers,1,500,500
Lexus,ES 300,white,2001,1,oh,langley mgmt services,1,550,550
Ford,Taurus,blue,2014,33228,il,avis budget group,1,18300,18300
Subaru,Forester,red,2014,10025,fl,subaru of america,1,26800,26800
Mazda,Mazda6,gray,2015,13107,tx,ars/enterprise,1,18000,18000
Chevrolet,Impala,silver,2013,45494,wa,enterprise veh exchange/rental,1,12000,12000
Lincoln,MKX,Ã¢â‚¬â€,2014,15038,tx,ars/enterprise,1,31300,31300
Chevrolet,Tahoe,silver,2013,60352,fl,the hertz corporation,1,31300,31300
Volkswagen,Passat,white,2013,55454,wi,united motors llc,1,11000,11000
BMW,3 Series,white,2012,44220,ca,phillips auto brokerage,1,22500,22500
Ford,Fusion,silver,2012,24114,ga,ford motor credit company llc pd,1,12600,12600
Kia,Forte,gray,2012,47435,va,freedom first credit union,1,6600,6600
Nissan,Rogue,gray,2012,56458,nc,regional acceptance corporation / greenville,1,12200,12200
Chevrolet,Impala Limited,gray,2014,13579,il,gm remarketing,1,14800,14800
Dodge,Caliber,blue,2011,61170,tn,toyota of murfreesboro/scion of murfreesboro,1,8300,8300
Chevrolet,Impala,gray,2009,80095,pa,exceptional motorcars ltd,1,6800,6800
Ford,E-Series Wagon,silver,2014,34143,pa,avis budget group,1,17800,17800
Volkswagen,Jetta,blue,2001,174519,oh,dt inventory,1,1650,1650
Mercedes-Benz,S-Class,black,2007,74468,ca,walters auto sales/service inc,1,20500,20500
Kia,Sportage,silver,2008,81733,tx,tdaf remarketing,1,7500,7500
BMW,5 Series,black,2007,77542,ga,mercedes benz of buckhead,1,10600,10600
BMW,5 Series,burgundy,2010,142424,nj,route one corporation,1,9700,9700
Chevrolet,Sonic,gray,2014,34387,mo,avis corporation,1,10700,10700
Scion,xB,black,2014,980,wi,toyota motor sales usa inc,1,14700,14700
Hyundai,Accent,white,2012,28629,ca,hyundai motor finance,1,9700,9700
,,gold,2010,63199,mi,automobiles paille inc,1,17700,17700
Hyundai,Veracruz,black,2009,64816,ga,capital one auto finance,1,13700,13700
Lexus,RX 330,gray,2004,61064,tx,texas direct auto,1,9900,9900
Hyundai,Accent,brown,2013,18950,ga,kia motors finance,1,10600,10600
Hyundai,Elantra,burgundy,2013,16935,oh,hyundai motor finance,1,12300,12300
Dodge,Charger,black,2007,149245,tx,dt credit corporation,1,3000,3000
Toyota,Camry,black,2012,27421,fl,world omni financial corporation,1,13900,13900
Lexus,RX 350,gray,2007,55165,pa,adcock brothers inc,1,15500,15500
Infiniti,G35,blue,2005,123454,ca,veros credit,1,8200,8200
Hyundai,Elantra,burgundy,2001,174128,ma,clay chevrolet hyundai,1,600,600
Toyota,Tacoma,white,1999,116530,fl,eloy motors inc,1,2600,2600
Chevrolet,Express,white,2014,18221,nj,enterprise veh exchange/rental,1,23000,23000
Nissan,Altima,white,2012,35737,mo,nissan-infiniti lt,1,11500,11500
Infiniti,G Sedan,blue,2011,23600,mo,nissan infiniti lt,1,20000,20000
Nissan,Altima,silver,2013,66844,il,the hertz corporation,1,11400,11400
Chrysler,200,gray,2012,61279,mo,exeter finance corp,1,8800,8800
Infiniti,G Sedan,black,2012,20253,ca,nissan infiniti lt,1,20000,20000
Nissan,Maxima,black,2011,36909,pa,nissan-infiniti lt,1,17500,17500
Toyota,Tundra,white,2008,191732,ca,wells fargo dealer services,1,10400,10400
Hyundai,Azera,gray,2006,184588,ca,hertz remarketing,1,2700,2700
MINI,Cooper,white,2004,76316,ca,century dealer services corp,1,5700,5700
Nissan,Maxima,gold,2003,154614,fl,autonation chevrolet south clearwater,1,2000,2000
Ford,Escape,blue,2014,14105,ca,ford motor credit company,1,16600,16600
Ford,Fusion,orange,2014,2909,nj,ford motor credit company llc,1,17500,17500
Kia,Forte,black,2014,34987,nc,avis corporation,1,11600,11600
Toyota,Yaris,gray,2014,36148,ca,enterprise vehicle exchange / tra / rental / tulsa,1,8100,8100
Chevrolet,Impala,black,2013,56083,ut,dtg operations inc,1,9600,9600
Chevrolet,Equinox,Ã¢â‚¬â€,2013,54881,tn,the hertz corporation,1,16900,16900
Chevrolet,Traverse,blue,2012,38011,il,ally,1,14800,14800
Ford,Edge,black,2012,25492,pa,alexandria toyota inc,1,28850,28850
Lexus,ES 350,black,2012,38637,az,toyota financial services,1,21100,21100
Mercedes-Benz,M-Class,brown,2012,85250,la,fairchild wholesale,1,28500,28500
Ram,1500,white,2012,21310,co,remktgedge/fastenal company fleet,1,16800,16800
Chrysler,300,gray,2014,21259,mn,hertz corporation/gdp,1,23500,23500
Volkswagen,Jetta,gray,2009,91035,ca,ecars,1,7300,7300
Chevrolet,Suburban,burgundy,2007,94607,tn,sullivan auto group llc,1,16000,16000
Toyota,Prius,black,2007,183933,fl,daytona toyota,1,2800,2800
BMW,3 Series,white,2006,105627,tx,tdaf remarketing,1,5900,5900
Hyundai,Elantra,green,2006,95186,mi,dt credit corporation,1,950,950
Chevrolet,Malibu,white,2000,145235,tx,tdaf remarketing,1,600,600
Ford,Focus,silver,2014,12466,wa,ford motor credit company llc,1,12700,12700
Mitsubishi,Outlander Sport,gray,2013,29100,md,exeter finance corp,1,13300,13300
Nissan,Pathfinder,silver,2013,38564,co,larson enterprises inc.,1,21500,21500
Mitsubishi,Galant,blue,2003,96136,mo,ed napleton honda,1,3000,3000
Nissan,Altima,white,2003,145443,fl,coconut creek auto mall,1,2600,2600
Mercedes-Benz,S-Class,black,1996,167566,nv,titlemax/fort apache-nv16,1,600,600
Kia,K900,black,2015,16079,nv,kia motors america  inc,1,39900,39900
Subaru,Legacy,white,2014,16661,fl,subaru of america,1,17400,17400
Toyota,Tacoma,silver,2012,33131,tx,cantu chevrolet,1,26700,26700
Ford,Escape,red,2013,42989,nv,avis corporation,1,16600,16600
Lexus,ES 350,beige,2013,27372,fl,r & b car sales inc,1,26000,26000
Toyota,RAV4,white,2013,42129,pa,avis corporation,1,17800,17800
Dodge,Charger,black,2012,39034,pa,smith haven chrysler jeep dodge,1,21700,21700
Jeep,Compass,black,2012,40290,wi,john pauls automotive,1,14900,14900
Lexus,IS 250 C,black,2012,11167,ca,lexus financial services,1,30100,30100
Chevrolet,Malibu,white,2011,25468,va,ourismans rockmont chevrolet,1,12900,12900
Dodge,Charger,black,2011,49018,tn,darrell waltrip buick gmc,1,21000,21000
Toyota,Sienna,gold,2011,77327,wa,lexus of tacoma at fife,1,14700,14700
Ford,Fusion,gray,2012,15103,ny,ford motor credit company llc,1,11700,11700
Ford,Mustang,white,2008,31881,ca,aaero sweet company,1,18750,18750
Chevrolet,Cobalt,gold,2007,84583,nc,credit acceptance corp/vrs/southfield,1,4300,4300
Honda,Odyssey,Ã¢â‚¬â€,2007,142054,nc,honda of concord,1,7500,7500
Toyota,Camry,gray,2006,107653,co,jpmorgan chase bank n.a.,1,6500,6500
Toyota,Sequoia,red,2006,181531,nv,credit acceptance corp/vrs/southfield,1,5400,5400
Dodge,Sprinter Cargo,red,2004,,fl,coca cola/custom remarketing solutions,1,1200,1200
Acura,TL,black,2003,131802,fl,mercedes benz of tampa,1,2800,2800
Ford,Expedition,red,2014,36685,ga,ars/avis budget group,1,30500,30500
Kia,Optima,black,2014,21492,ca,kia motors finance,1,13750,13750
Kia,Soul,red,2014,7530,wa,kia motors america  inc,1,15100,15100
Nissan,Altima,white,2014,17630,il,nissan north america inc.,1,20800,20800
Nissan,Maxima,silver,2014,10364,pa,brandywine chrysler jeep dodge,1,21250,21250
Ford,Explorer,green,2013,26601,ny,ford motor credit company llc,1,26300,26300
Ford,Focus,Ã¢â‚¬â€,2012,20752,tn,ford motor credit company llc,1,11100,11100
Mercedes-Benz,C-Class,Ã¢â‚¬â€,2012,19248,wi,mercedes-benz financial services,1,23250,23250
Chevrolet,Suburban,off-white,2011,62164,pa,924 auto corp,1,35500,35500
Toyota,Avalon,black,2011,28425,pa,r hollenshead auto sales inc,1,18600,18600
Nissan,Sentra,gray,2009,112519,ca,metro nissan of montclair,1,4800,4800
Toyota,Matrix,gray,2009,91794,fl,capital one auto finance,1,5600,5600
Chevrolet,Sonic,black,2014,13221,il,gm remarketing,1,10800,10800
Chrysler,Town and Country,white,2014,25628,il,sixt rent a car llc,1,18600,18600
Ford,F-150,white,2003,192998,fl,lauderdale imports ltd bmw pembrok pines,1,3000,3000
GMC,Envoy,white,2003,116476,az,aps rent a car & leasing,1,3700,3700
Chrysler,200,blue,2015,7105,il,chrysler group llc,1,21200,21200
Kia,Soul,white,2014,13574,nj,kia motors america  inc,1,13200,13200
Toyota,Camry,gray,2012,23096,fl,world omni financial corporation,1,16800,16800
Ford,Focus,blue,2008,104714,nj,lester glenn buick,1,4300,4300
Chevrolet,Equinox,blue,2006,149460,nc,hendrick chrysler jeep,1,2800,2800
Volkswagen,Passat,burgundy,2014,21151,nv,findlay north volkswagen,1,13500,13500
Chevrolet,Traverse,Ã¢â‚¬â€,2012,75394,pa,lease plan usa,1,14000,14000
Chevrolet,Traverse,white,2012,59100,ca,lease plan usa,1,15900,15900
BMW,5 Series Gran Turismo,,2011,16719,ca,financial services remarketing (lease),1,25900,25900
Jeep,Patriot,silver,2011,48979,ga,santander consumer,1,8600,8600
Nissan,Rogue,silver,2011,63670,pa,nissan-infiniti lt,1,11100,11100
Pontiac,G6,white,2008,80233,mo,regional acceptance corporation / winterville,1,4600,4600
Cadillac,SRX,black,2006,81952,pa,sign and drive auto group,1,4200,4200
Chevrolet,Impala,white,2006,158154,va,wells fargo dealer services,1,2700,2700
Nissan,Frontier,white,2006,60929,nv,unique autos,1,10800,10800
Jeep,Grand Cherokee,blue,2004,99022,il,remarketing by ge/classic motorcars inc,1,4300,4300
Hyundai,Accent,blue,2014,15107,ca,hyundai motor america,1,11700,11700
Infiniti,Q50,red,2014,6760,il,nissan north america inc.,1,35200,35200
Kia,Sorento,burgundy,2014,32635,nj,enterprise veh exchange/rental,1,17800,17800
Honda,CR-V,brown,2013,35498,pa,avis corporation,1,16900,16900
Hyundai,Santa Fe,green,2013,27683,ca,hyundai motor america/co car,1,22900,22900
Ford,F-150,white,2011,28589,pa,ford motor credit company llc,1,24800,24800
Toyota,Corolla,black,2011,17964,fl,world omni financial corporation,1,10100,10100
MINI,Cooper,gray,2006,97397,nv,frontline auto remarketing llc,1,4400,4400
Volkswagen,CC,gray,2013,60690,ga,the hertz corporation,1,13801,13801
Chrysler,200,black,2012,60125,tx,dtg operations inc,1,8500,8500
Dodge,Avenger,black,2012,61850,pa,dtg operations inc,1,7100,7100
Ford,Explorer,white,2012,40120,tn,ford motor credit company llc,1,26100,26100
Honda,CR-V,blue,2012,57388,il,ahfc/honda lease trust/hvt  inc.,1,14500,14500
Infiniti,G Sedan,gray,2012,32300,tx,nissan infiniti lt,1,21000,21000
Nissan,Altima,red,2012,24618,nj,nissan-infiniti lt,1,12700,12700
Volkswagen,Passat,blue,2013,60200,tn,the hertz corporation,1,9900,9900
Dodge,Journey,white,2013,31241,ca,enterprise vehicle exchange / tra / rental / tulsa,1,13300,13300
Honda,Accord,white,2013,17163,nc,medlin buick gmc mazda,1,20000,20000
Hyundai,Elantra,silver,2013,46684,wa,avis corporation,1,11300,11300
Ford,Fusion,silver,2014,28492,ga,international auto group inc,1,17000,17000
Dodge,Journey,gray,2009,93787,in,gm financial,1,5900,5900
Land Rover,LR4,white,2012,65748,mo,tdaf remarketing,1,38000,38000
Mercedes-Benz,C-Class,silver,2012,19378,ca,mercedes-benz financial services,1,22500,22500
Acura,MDX,gray,2003,108216,wa,lexus of bellevue,1,8800,8800
Toyota,Camry,gold,2012,8386,fl,world omni financial corporation,1,17500,17500
Toyota,Corolla,red,2011,50537,fl,capital one auto finance,1,9400,9400
Chevrolet,Malibu,gray,2014,10877,mo,exeter finance corp,1,14600,14600
Buick,LaCrosse,silver,2008,61756,oh,jr's auto city inc,1,10000,10000
Ford,Escape,green,2008,141299,fl,lee co funding inc,1,4000,4000
Chevrolet,Volt,black,2014,6960,fl,tdaf remarketing,1,22800,22800
Chevrolet,Cobalt,black,2007,97847,wi,capital one auto finance,1,2700,2700
Pontiac,G6,blue,2007,93993,va,shirlie slack mitsubishi,1,6500,6500
Toyota,Camry,white,2007,166639,mo,arizona auto sales inc,1,7000,7000
Chevrolet,Silverado 1500,blue,2006,165915,ga,rick hendrick chevrolet,1,7500,7500
Ford,F-150,brown,2006,91655,oh,exceptional motorcar llc,1,13800,13800
Audi,A4,black,2005,125562,fl,fiserv/dealer funding llc,1,3200,3200
Chevrolet,Silverado 2500HD,red,2005,98460,ne,baxter chrysler jeep dodge,1,22100,22100
Nissan,Sentra,red,2005,95788,nc,hendrick chrysler jeep,1,2300,2300
Mercury,Sable,gray,2004,190732,nc,hendrick toyota scion concord,1,1200,1200
Nissan,Xterra,silver,2002,61265,ma,premier mazda,1,4600,4600
Ford,Taurus,red,1999,213417,wi,axcess financial,1,275,275
Ford,Edge,black,2014,22528,tn,avis budget group,1,26000,26000
Ford,Fusion,black,2014,17708,il,enterprise/ars,1,18300,18300
Ford,Mustang,black,2014,53234,ga,dollar thrifty automotive group,1,15000,15000
Jeep,Wrangler,yellow,2015,536,ca,moab industries,1,42500,42500
Kia,Soul,white,2014,8152,co,gm financial,1,15200,15200
Nissan,Altima,Ã¢â‚¬â€,2014,39131,tn,enterprise veh exchange/rental,1,14000,14000
Toyota,RAV4,black,2014,25161,tn,enterprise veh exchange/rental,1,19000,19000
Chevrolet,Cruze,silver,2013,20523,nc,gm financial,1,11200,11200
Chevrolet,Express,white,2013,38963,fl,avis corporation,1,18700,18700
Chevrolet,Malibu,silver,2013,36595,oh,midwest car corporation/ally financial,1,12500,12500
Mercedes-Benz,C-Class,black,2013,27267,ga,mercedes-benz financial services,1,22250,22250
Nissan,Murano,black,2004,136994,ca,metro nissan of montclair,1,1500,1500
Dodge,Grand Caravan,gray,2013,36227,ca,remarketing by ge/billion dodge,1,13200,13200
Lexus,CT 200h,gray,2013,22880,ca,lexus financial services,1,22500,22500
Honda,CR-V,brown,2013,53742,fl,tdaf remarketing,1,17000,17000
Toyota,Camry,gold,2013,38848,wi,toyota financial services/avis budget group-open,1,13600,13600
Volvo,S60,red,2013,38614,ga,avis corporation,1,16800,16800
Chevrolet,Equinox,black,2012,44195,mn,flexco fleet services,1,15100,15100
Ford,F-250 Super Duty,white,2012,154656,tx,donlen corporation,1,17800,17800
Chevrolet,Camaro,black,2011,53508,mn,chrysler capital,1,20400,20400
Chevrolet,Impala,gray,2014,26325,pa,gm remarketing,1,18100,18100
Chevrolet,Volt,silver,2011,121183,tx,ge fleet services for itself/servicer,1,8600,8600
Ford,F-350 Super Duty,black,2009,76023,fl,tdaf remarketing,1,28200,28200
Acura,TL,gray,2004,142164,fl,southern auto finance co/safco/ft lauderdale,1,1900,1900
Jeep,Liberty,silver,2004,99928,nj,sansone jrs 66 nissan,1,3400,3400
Toyota,Camry,black,1997,185051,va,purple heart,1,300,300
Kia,K900,white,2015,9520,nv,kia motors america  inc,1,40750,40750
Kia,Sorento,burgundy,2015,15286,co,the auto connection,1,21300,21300
Chevrolet,Cruze,silver,2013,52439,mi,the hertz corporation,1,10500,10500
Ford,F-150,black,2013,41735,mo,rusty eck ford inc,1,24700,24700
Chevrolet,Impala,black,2012,74688,mo,exeter finance corp,1,7800,7800
BMW,5 Series,black,2012,61478,mo,wildwood auto plaza,1,24300,24300
Ford,F-150,Ã¢â‚¬â€,2013,62167,mo,ford-lincoln dealer program,1,31800,31800
Dodge,Grand Caravan,blue,2014,11113,va,enterprise veh exchange/rental,1,17400,17400
Volkswagen,GTI,blue,2005,108920,fl,hertz remarketing,1,2800,2800
Volkswagen,Jetta,gray,2003,164483,fl,vietnam veterans of america,1,800,800
Ford,Taurus,silver,2002,148602,nv,credit acceptance corp/vrs/southfield,1,1200,1200
Nissan,Altima,silver,2002,153788,fl,coggin nissan at the avenues,1,1900,1900
Chevrolet,Cruze,white,2013,39324,tx,avis corporation,1,12900,12900
Ford,E-Series Van,white,2013,20674,ga,u-haul,1,21700,21700
Ford,F-150,black,2013,11251,pa,c harper chevrolet buick cadillac,1,30100,30100
GMC,Yukon XL,silver,2012,59722,ca,reliance motors llc,1,26500,26500
Mazda,CX-9,silver,2011,41291,nj,jpmorgan chase bank n.a.,1,17000,17000
Nissan,Altima,black,2011,48485,va,consumer portfolio services,1,7300,7300
Ford,Mustang,red,2010,25605,pa,adcock brothers inc,1,20900,20900
BMW,3 Series,black,2008,144939,fl,wayne akers ford inc,1,8200,8200
Nissan,Altima,gray,2007,96842,pa,champion mazda,1,7200,7200
Toyota,Camry,green,1997,221639,nc,fleet lease remarketing,1,1200,1200
Kia,Sportage,gray,2014,9477,nj,kia motors america  inc,1,17900,17900
Ford,Escape,white,2013,21453,nj,ford motor credit company llc,1,21000,21000
Hyundai,Elantra,gray,2013,22404,fl,merchants leasing,1,10500,10500
Honda,Odyssey,red,2012,32139,nj,ahfc/honda lease trust/hvt  inc.,1,18800,18800
Lexus,ES 350,black,2012,35259,fl,lexus financial services,1,23000,23000
Chevrolet,Cruze,black,2014,35816,fl,avis corporation,1,12900,12900
Toyota,RAV4,black,2011,42588,fl,toyota financial services,1,13800,13800
Ford,Focus,blue,2005,110393,oh,halleen kia,1,3650,3650
Ford,Escape,Ã¢â‚¬â€,2012,45283,tx,ford motor credit company llc,1,14500,14500
Nissan,Rogue,silver,2012,9885,pa,nissan-infiniti lt,1,14900,14900
BMW,3 Series,gray,2011,45972,ca,financial services remarketing (lease),1,22000,22000
,,black,2011,30255,fl,world omni financial corporation,1,10000,10000
GMC,Yukon XL,gray,2009,101275,fl,tim short chevrolet,1,18300,18300
Honda,CR-V,black,2008,36385,ca,south bay hyundai,1,15900,15900
Ford,Ranger,white,2007,59133,tn,ford-lincoln dealer program,1,9200,9200
Toyota,Camry,silver,2007,108978,md,wells fargo dealer services,1,5800,5800
Chevrolet,Malibu,red,2006,56860,fl,extreme automotive corp,1,2900,2900
,,Ã¢â‚¬â€,2005,97443,tn,dt credit corporation,1,4000,4000
Ford,Escape,Ã¢â‚¬â€,2014,28167,tx,avis budget group,1,19500,19500
Ford,Fusion,white,2014,13502,tx,lease plan usa,1,17600,17600
BMW,X1,blue,2013,27541,fl,tdaf remarketing,1,22000,22000
Kia,Optima,gray,2013,20168,ga,kia motors finance,1,23300,23300
Nissan,Versa,gray,2013,37387,ga,merchants automotive group,1,9100,9100
Cadillac,SRX,gray,2012,35725,mi,gm financial leasing,1,25100,25100
Chevrolet,Camaro,black,2012,12606,il,ally,1,17000,17000
Jaguar,XJ,black,2012,56688,tx,jpmorgan chase bank n.a.,1,43000,43000
Dodge,Nitro,white,2007,120970,mi,santander consumer,1,5300,5300
,,blue,2006,116727,md,darcars ford,1,9900,9900
Lexus,ES 300,black,1999,165161,tx,westlake financial services,1,1750,1750
Dodge,Journey,silver,2012,23697,il,ally,1,16200,16200
,,black,2011,60744,fl,the hertz corporation,1,9400,9400
GMC,Terrain,gray,2010,69543,wi,knauz continental autos inc,1,12400,12400
Hyundai,Elantra,red,2008,135494,tx,santander consumer,1,2800,2800
BMW,3 Series,gray,2011,12802,ca,financial services remarketing (lease),1,22250,22250
GMC,Sierra 1500,gray,2011,53344,in,santander consumer,1,22300,22300
Ford,Fusion,red,2012,60580,az,lenders assistance corporation,1,10200,10200
BMW,3 Series,red,2011,49968,fl,lauderdale imports ltd bmw pembrok pines,1,16300,16300
Chevrolet,Camaro,black,2011,81903,az,avondale mazda,1,9500,9500
Kia,Sportage,silver,2011,129440,fl,grieco nissan,1,8400,8400
Hyundai,Santa Fe,blue,2010,97522,tx,tdaf remarketing,1,9000,9000
Toyota,Corolla,silver,2010,48227,ca,lucky imports,1,8700,8700
Audi,A4,white,2009,90140,wa,lexus of bellevue,1,14000,14000
Chrysler,Town and Country,gray,2014,22259,on,chrysler canada inc,1,25000,25000
Lincoln,MKX,Ã¢â‚¬â€,2014,16799,tn,ford motor credit company,1,34000,34000
Dodge,Avenger,silver,2013,52852,co,avis corporation,1,9900,9900
Chevrolet,Monte Carlo,gray,2005,109852,ga,rick hendrick buick gmc,1,2700,2700
Ford,Focus,black,2003,130196,tx,don davis dodge chrysler jeep ram,1,900,900
Acura,MDX,white,2012,46932,pa,tdaf remarketing,1,26500,26500
Mercedes-Benz,C-Class,white,2009,52186,ca,high bid trading co inc,1,15500,15500
Toyota,Highlander,silver,2008,87089,ga,germain toyota of sarasota,1,15800,15800
Volkswagen,Passat,blue,2008,93228,md,jpmorgan chase bank n.a.,1,4300,4300
BMW,7 Series,black,2007,82931,fl,grow financial fcu,1,13500,13500
Jeep,Wrangler,black,2007,67826,pa,de felice of pt pleasant inc,1,16000,16000
Pontiac,Grand Prix,beige,2007,131969,nj,northwoods automotive,1,1600,1600
Chevrolet,Silverado 1500,silver,2006,124016,fl,jpmorgan chase bank n.a.,1,7200,7200
,,gold,2006,66223,wa,hinton chevrolet buick inc,1,14900,14900
Dodge,Journey,red,2014,18557,mn,hertz corporation/gdp,1,17400,17400
Subaru,Legacy,white,2005,65824,tx,autonation toyota south austin,1,6600,6600
Chrysler,PT Cruiser,red,2003,126977,ca,honda world,1,1000,1000
Volkswagen,New Beetle,silver,1999,132144,ca,royal motors inc,1,1300,1300
Jeep,Grand Cherokee,gray,2014,29023,fl,achieva credit union,1,20200,20200
Nissan,Altima,white,2014,18355,ga,nissan motor acceptance corporation,1,14600,14600
Audi,Q7,black,2013,26277,ga,cameron motor sports,1,36000,36000
Honda,Pilot,gray,2013,40009,nj,joyce motors corp,1,22250,22250
Toyota,Tacoma,black,2013,34959,ga,ford-lincoln dealer program,1,22000,22000
Toyota,RAV4,white,2012,44879,oh,toyota financial services,1,20200,20200
BMW,3 Series,blue,2011,54813,wi,financial services remarketing (lease),1,17200,17200
Toyota,Camry,gold,2011,16390,fl,subaru of pembroke pines,1,12400,12400
Jeep,Wrangler,red,2010,42755,mi,kevins marysville auto sales inc,1,24600,24600
BMW,3 Series,black,2006,146622,ab,west edmonton hyundai,1,6000,6000
,,gray,2006,102794,ga,gateway one lending & finance,1,1800,1800
Nissan,Altima,red,2006,188808,fl,courtesy nissan of tampa,1,2300,2300
Chevrolet,Express Cargo,white,2012,159819,co,lease plan usa,1,7900,7900
Ford,Escape,gray,2012,79610,fl,ge fleet services for itself/servicer,1,10100,10100
Infiniti,G Sedan,gray,2011,49387,nj,nissan infiniti lt,1,19000,19000
BMW,5 Series,silver,2007,109735,nc,ge fleet services for itself/servicer,1,9000,9000
Chevrolet,Avalanche,white,2004,153932,ga,sunrise acceptance inc,1,5900,5900
Jeep,Grand Cherokee,blue,2001,161965,fl,coggin chevrolet at the avenues,1,2300,2300
Hyundai,Sonata,gray,2013,54457,co,avis corporation,1,11500,11500
BMW,3 Series,white,2012,42597,ca,financial services remarketing (lease),1,26000,26000
Chevrolet,Traverse,gray,2012,62935,mo,lease plan usa,1,15000,15000
Infiniti,G Sedan,black,2012,14939,il,nissan infiniti lt,1,21600,21600
Nissan,Leaf,Ã¢â‚¬â€,2012,20998,ca,nissan-infiniti lt,1,11250,11250
Toyota,Yaris,silver,2012,55211,wi,the hertz corporation,1,8400,8400
Nissan,Juke,gray,2011,39719,nv,lexus of henderson,1,12900,12900
Lexus,IS 350,gray,2010,35322,il,advantage chevrolet/ge,1,21300,21300
Cadillac,Escalade ESV,black,2008,119341,nv,planet power toys,1,17500,17500
Chevrolet,Silverado 2500HD,red,2008,80198,pa,wholesale outlet inc,1,25600,25600
Land Rover,Range Rover,gray,2008,85543,nv,lexus of las vegas,1,18400,18400
Ford,F-150,white,2007,114856,wa,repo remarketing/qualstar credit union,1,11600,11600
Lexus,IS 250,blue,2007,157866,nj,wells fargo dealer services-tra,1,5500,5500
Chevrolet,Suburban,blue,2005,102717,nv,unique autos,1,10800,10800
Chevrolet,Impala,beige,2004,149183,tx,dt credit corporation,1,2500,2500
Pontiac,Grand Prix,burgundy,2002,190573,ga,sst financial,1,800,800
Chrysler,200,red,2015,1192,fl,chrysler capital,1,16300,16300
Ford,Fiesta,white,2014,49642,mo,ars/avis budget group,1,9200,9200
Ford,Fusion,Ã¢â‚¬â€,2014,9620,tn,ford motor credit company llc,1,16800,16800
Kia,Optima,brown,2014,10103,oh,kia motors america  inc,1,15100,15100
